TERMINAL_NUMBER,ADDRESS,LATITUDE,LONGITUDE,TEMPORARY_INSTALL
31092,Lee Hwy & N Monroe St,38.896456,-77.104562,15
31092,N Nelson St & Lee Hwy,38.896456,-77.104562,15
31093,21st St N & N Pierce St,38.898984,-77.078317,14
31094,Lee Hwy & N Kirkwood Rd,38.895377,-77.09713,15
31279,19th & G St NW,38.898412,-77.043182,23
31522,2nd St & Seaton Pl NE,38.914751,-77.00356,19
31902,Wilson Blvd & N Illinois St,38.876528,-77.12712,15
31095,Army Navy Dr & S Nash St,38.862756,-77.067185,11
31293,31st & Water St NW,38.902814,-77.061043,19
31280,11th & S St NW,38.913761,-77.027025,23
31096,S Walter Reed Dr & 8th St S,38.86612,-77.08787,14
31639,2nd & G St NE,38.89967,-77.003666,23
31281,8th & O St NW,38.90864,-77.02277,19
31411,Georgia & Missouri Ave NW,38.961339,-77.027855,19
31712,Oklahoma Ave & D St NE,38.894474,-76.974828,18
31640,Maryland Ave & E St NE,38.896134,-76.9929,19
31518,New York Ave & Hecht Ave NE,38.915604,-76.983683,23
31316,Yuma St & Tenley Circle NW,38.946182,-77.08059,19
32051,Connecticut Ave & Chevy Chase Lake Dr,38.994113,-77.076986,15
32052,Key West Ave & Siesta Key Way,39.105295,-77.194774,15
31900,Lee Hwy & N Woodstock St,38.898301,-77.118009,19
31097,Saint Asaph & Madison St,38.812718,-77.044097,15
31098,King St Metro North / Cameron St,38.80704,-77.059817,15
31098,King St Metro,38.80704,-77.059817,15
31099,Madison & N Henry St,38.813485,-77.049468,15
32053,Medical Center Metro,38.999378,-77.097882,18
31901,Washington Blvd & N Frederick St,38.884829,-77.127671,11
31317,Wisconsin Ave & Ingomar St NW,38.958267,-77.084636,19
31122,16th & Irving St NW,38.928893,-77.03625,19
31282,16th & R St NW,38.912652,-77.036278,19
32054,Lyttonsville Rd & Lyttonsville Pl,38.999679,-77.051168,15
32055,Woodmont Ave & Strathmore St,38.979875,-77.093522,11
31283,14th & L St NW,38.903658,-77.031737,19
31519,1st & O St NW,38.908643,-77.012365,15
31811,South Capitol & Atlantic St SW,38.831516,-77.008133,19
31284,18th & C St NW,38.893511,-77.041544,19
31285,22nd & P ST NW,38.909394,-77.048728,18
32056,East West Hwy & 16th St,38.995681,-77.038721,19
31903,Royal & Wilkes St,38.799267,-77.0447,15
31123,14th & Girard St NW,38.925284,-77.032375,23
31910,Potomac Ave & Main Line Blvd,38.822738,-77.049265,19
31286,11th & O St NW,38.90843,-77.02714,19
31287,10th St & L'Enfant Plaza SW,38.884377,-77.025791,22
31318,Connecticut Ave & Yuma St NW,38.947156,-77.065115,19
31641,2nd St & Massachusetts Ave NE,38.894972,-77.003135,23
31908,Radford & Osage St,38.828437,-77.086031,23
31904,East Falls Church Metro/Sycamore St & 19th St N,38.884859,-77.155988,19
31905,Kennebec St & 11th St N,38.880992,-77.135271,15
31906,Commonwealth Ave & Oak St,38.812711,-77.061715,19
31913,Commonwealth & E Monroe Ave,38.820058,-77.062821,15
31288,4th St & Madison Dr NW,38.890493,-77.017253,18
31289,Henry Bacon Dr & Lincoln Memorial Circle NW,38.890544,-77.049379,19
31290,17th St & Independence Ave SW,38.888097,-77.038325,19
31907,Franklin & S Washington St,38.798133,-77.0487,19
31909,Mount Vernon Ave & Four Mile Run Park,38.843422,-77.064016,15
31642,New Jersey Ave & L St NW,38.903598,-77.01397,22
31912,Mount Vernon Ave & Bruce St,38.841291,-77.063093,15
31914,Lee Center,38.797557,-77.053766,15
31915,Powhatan St & Bashford Ln,38.818748,-77.047783,15
31916,Potomac & Swann Ave,38.829545,-77.047844,19
31124,14th & Irving St NW,38.928552,-77.032224,31
31291,16th & K St NW,38.90268,-77.035737,23
31319,Wisconsin Ave & Brandywine St NW,38.949813,-77.080217,25
31520,24th & R St NE / National Arboretum,38.91263,-76.971923,19
31713,Division Ave & Foote St NE,38.897407,-76.925907,15
31812,16th & Q St SE / Anacostia HS,38.870695,-76.982359,23
32200,Spring Hill Metro,38.929261,-77.240654,15
32201,Westpark Dr & Leesburg Pike,38.92403,-77.235955,11
32203,Tysons One Pl & Chain Bridge Rd,38.919475,-77.221179,11
32204,Tysons Corner Station,38.920939,-77.222115,11
32205,Westpark & Jones Branch Dr,38.924437,-77.217664,11
32206,Jones Branch & Westbranch Dr,38.931911,-77.219261,13
32207,Westpark & Park Run Dr,38.928919,-77.225394,11
32208,Tysons West Transit Center,38.932636,-77.231825,11
32209,North Shore & Cameron Crescent Dr/Crescent Apartments,38.970046,-77.338686,11
32210,Town Center Pkwy & Bowman Towne Dr,38.962524,-77.361902,15
